log_id,timestamp,ticker,contract_type,setup_quality,confluence_score,bias,price_at_scan,strike,stock_target,stop_level,expiry,entry_trigger,freshness_consumed_pct,freshness_stale,em_pct,target_em_ratio,target_adjusted,checked,checked_at,outcome_price,max_favorable_pct,max_adverse_pct,hit_target,hit_stop,entry_triggered,result
AAPL_20260630T130134.401250,2026-06-30T13:01:34.401250,AAPL,NONE,NO TRADE,42,NEUTRAL,281.74,,,,,,,,,,,yes,2026-07-22T15:35:30+00:00,,,,,,,NO_TRADE
AMZN_20260630T130227.309576,2026-06-30T13:02:27.309576,AMZN,PUT,MODERATE,58,BEARISH,240.14,239.0,234.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:30+00:00,242.28,1.23,0.13,no,yes,yes,LOSS
META_20260630T130311.719677,2026-06-30T13:03:11.719677,META,PUT,LOW CONVICTION,54,BEARISH,562.6,560.0,548.0,1.0,1DTE,,,,,,,yes,2026-07-22T15:35:30+00:00,582.65,1.38,0.0,no,yes,yes,LOSS
MSFT_20260630T130406.266649,2026-06-30T13:04:06.266649,MSFT,NONE,NO TRADE,38,NEUTRAL,368.57,,,,,,,,,,,yes,2026-07-22T15:35:30+00:00,,,,,,,NO_TRADE
NVDA_20260630T130454.567768,2026-06-30T13:04:54.567768,NVDA,NONE,NO TRADE,52,NEUTRAL,194.97,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
QQQ_20260630T130548.811082,2026-06-30T13:05:48.811082,QQQ,NONE,NO TRADE,44,NEUTRAL,724.08,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
SPY_20260630T130632.066350,2026-06-30T13:06:32.066350,SPY,CALL,MODERATE,62,BULLISH,741.0,742.0,748.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,744.84,0.4,0.01,no,no,yes,WIN
TSLA_20260630T130719.828380,2026-06-30T13:07:19.828380,TSLA,CALL,MODERATE,58,BULLISH,411.84,415.0,421.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,392.82,1.08,1.42,no,no,yes,WIN
AAPL_20260630T133144.764768,2026-06-30T13:31:44.764768,AAPL,NONE,NO TRADE,38,NEUTRAL,282.76,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
AMZN_20260630T133234.895417,2026-06-30T13:32:34.895417,AMZN,PUT,MODERATE,58,BEARISH,239.8,239.0,234.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,242.28,0.54,0.09,no,yes,yes,LOSS
META_20260630T133317.927124,2026-06-30T13:33:17.927124,META,PUT,HIGH CONVICTION,72,BEARISH,556.65,555.0,542.87,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,582.65,0.24,0.24,no,yes,yes,LOSS
MSFT_20260630T133403.339937,2026-06-30T13:34:03.339937,MSFT,PUT,MODERATE,58,BEARISH,368.1,367.0,358.0,15.0,1DTE,,,,,,,yes,2026-07-22T15:35:31+00:00,389.62,0.0,1.22,no,yes,yes,LOSS
NVDA_20260630T133447.883996,2026-06-30T13:34:47.883996,NVDA,NONE,NO TRADE,38,NEUTRAL,197.46,,,,,,,,,,,yes,2026-07-22T15:35:31+00:00,,,,,,,NO_TRADE
